,slug,playtime,released,rating,rating_top,ratings_count,reviews_text_count,added,metacritic,suggestions_count,updated,tags,reviews_count,genres,yet,owned,beaten,toplay,dropped,playing
1049,jett-rocket-ii-the-wrath-of-taikai,0,11/13/2013,0,0,0,1,1,,373,2019-01-09T12:41:06,"Epic, planet",1,,0,0,1,0,0,0
1050,girls-fashion-shoot,0,11/14/2013,0,0,0,0,1,,196,2019-01-09T12:41:06,"art, girl",0,,0,1,0,0,0,0
1051,disney-frozen-olafs-quest,0,11/12/2013,0,0,0,0,1,,93,2019-01-09T12:41:06,"Movie, animation",0,,0,1,0,0,0,0
1052,brilliant-hamsters,0,12/5/2013,0,0,0,0,1,,46,2019-01-09T12:41:06,,0,,0,1,0,0,0,0
1053,winter-sports-feel-the-spirit,0,12/19/2013,0,0,0,0,1,,141,2019-01-09T12:41:06,"Soundtrack, winter",0,,0,1,0,0,0,0
1054,gardening-mama-2-forest-friends,0,9/26/2013,0,0,0,0,1,,67,2019-09-12T06:37:37,"exclusive, true exclusive",0,,0,1,0,0,0,0
1055,mighty-switch-force-2-2,0,6/13/2013,0,0,0,0,1,,0,2020-05-19T09:47:01,,0,"Platformer, Action",1,0,0,0,0,0
1056,wipeout-create-crash,0,10/15/2013,0,0,0,0,1,,0,2019-11-20T04:08:04,,0,,0,1,0,0,0,0
1057,gaist-crusher,0,12/5/2013,0,0,0,0,1,,0,2019-09-12T06:37:37,"exclusive, true exclusive",0,,0,1,0,0,0,0
1058,haikyu-cross-team-match,0,3/3/2016,0,0,1,0,1,,0,2019-06-25T07:14:15,,1,,0,1,0,0,0,0
1059,hero-bank,0,3/20/2014,0,0,0,0,1,,0,2019-09-12T06:37:37,"exclusive, true exclusive",0,,0,1,0,0,0,0
1060,inazuma-eleven-go-2-chrono-stone-raimei,0,12/13/2013,0,0,0,0,1,,0,2019-06-25T08:39:01,,0,"Arcade, Sports",0,0,1,0,0,0
1061,lost-heroes-2,0,2/5/2015,0,0,0,0,1,,0,2019-06-25T11:57:12,,0,,0,1,0,0,0,0
1062,madagascar-3-the-croods-combo-pack,0,11/15/2013,0,0,0,0,1,,0,2019-09-03T02:57:44,,0,"Platformer, Arcade",0,1,0,0,0,0
1063,starry-sky-in-spring-3d,0,4/25/2013,0,0,1,0,1,,0,2019-07-20T23:36:48,,1,,0,0,1,0,0,0
1064,tenkai-knights-brave-battles,0,9/19/2014,0,0,0,0,1,,0,2019-09-12T06:37:45,"exclusive, true exclusive",0,"Arcade, Fighting",0,1,0,0,0,0
1065,tomodachi-collection-2012,0,,0,0,1,0,1,,0,2019-09-12T06:37:18,"exclusive, true exclusive",1,,0,0,1,0,0,0
1066,vitamin-z-revolution,0,3/25/2010,0,0,0,0,1,,0,2019-06-26T04:57:45,,0,,0,1,0,0,0,0
